movieId,title,storyline,trailerLink,source_trailer,genre,director,starring,releasedYear,runtime,IMDB avg rating,no of users (who rated),views,likes,comments,trailerPublishedAt
62,KURA POKKHIR SHUNNE URA,Kura Pokkhir Shunne Ura' is a feature film on the struggle for survival of marginalized peas.,YO3Rhip2dYU,iScreen,Art Film,Muhammad Quayum,"Farzina Aktar, Mahmud Alam, Samiya Aktar Bristy","4 November, 2022",177 minutes,7.1,24,28794,433,41,20 April 2023
63,KATHAL,Two kids get into an embarrassing situation by stealing a jack fruit. But is it possible to hide such a big jackal? What will they do with that?,VphyWeAMlns,Amit Ashraf,Comedy ,"Siddique Ahmed, Amit Ashraf, Istiak Nasir","Ashraful Ashish, Poushal Chowdhury, Nawaf Naser","15 December, 2021",45 minutes,8.1,39,1593,29,0,"12 April, 2021"
64,MAYASHALIK,"Ovi is suffering from clinical depression. To overcome it, he visits Morshedpur and enters a house being their paying guest. A few days later, he receives a call on the landline of that house and gets introduced to Sarah. Thus their story starts. Suddenly something happens and Ovi realizes that no matter how much they try it's impossible for them to meet. What is the reason?",bocHZeAr3EY,Binge,Sci-Fi Romantic,Shihab Shaheen,"Ziaul Faruq Apurba, Sadia Ayman","19 December, 2022",113 minutes,8,599,686264,12968,902,"15 December, 2022"
65,CAFE DESIRE,A power station clerk maneuvers a blackout every night for a secret rendezvous; a businessman caught in a limbo beside an up-class escort; a travel agent deliberately delays his client's visa; a girl clandestinely trains herself for a race; a plumber gets entry into a private chamber of an actress he is obsessed with- all are interwoven in a thread of love and lust.,VQDsAnWj9rw,Chorki,Drama,Robiul Alam Robi,"Priyam Archi, Khairul Basar, Intekhab Dinar","22 December, 2022",120 minutes,6.8,33,336266,949,97,"15 December, 2022"
66,BLACK WAR: MISSION EXTREME 2,A terror leader is making a massive plan to disrupt national stability. ADC Nabid is hunting down the tail of terrorist outfit. But the situation becomes worst when series of attacks occur anonymously.,JSCo-PF9dYA,Tiger Media,Action Thriller,"Sunny Sanwar, Faisal Ahmed","Sumit Sen Gupta, Atikur Rahman Himel, Maznum Mizan","13 January, 2023",130 minutes,6.8,461,317380,7473,338,"3 January, 2023"
67,ADVENTURE OF SUNDARBANS,"A group of children from the ""Children's Film Society"" embark on a journey to the mangroves of Sundarbans in Bangladesh. The children are accompanied by renowned poets, writers, and filmmakers as well as volunteers Ratul and Trisha on the journey. Travelers can visit Sundarban only in high tides. However, things do not go as planned, and eventually, the group's ship gets stuck due to low tide. Things get even worse once the group spots local pirates approaching. Once the pirates board their ship, everyone is taken hostage. Fortunately, the ship's hidden passenger comes up with a plan, and he needs the children's help to execute it. Watch the thrilling and adrenaline-fueled family adventure ""Adventure of Sundarbans"" to find out if the children finally manage to escape.",y-niJkOY76A,Chitrabani CB,Children,Abu Raihan Mohammad Jewel,"Siam Ahmed, Russel Farazi, Atikur Rahman Himel",20 January 2023,117 minutes,7.5,92,74380,806,35,"20 December, 2022"
68,SAATAO,The film revolves around the impact of the agrarian society during the time of Memories of Gloomy Monsoons and the life of marginalized people.,OGIOcPmIYLQ,Jaaz Multimedia,Family Drama,Khandaker Sumon,"Fazlul Haque, Shakkho Shahid, Abdullah Al Sentu","27 January, 2023",97 minutes,8.9,45,43383,775,56,"12 January, 2023"
69,ORA 7 JON,"""Ora 7 Jon"" / THE 7 is a periodical war film based on the journey of 7 brave freedom fighters during the heat of battle in 1971 Liberation war of Bangladesh.",ownkHMCH2d8,Tiger Media,Action-War,Khijir Hayat Khan,"Imtiaz Barshon, Intekhab Dinar, Amjad Hossen",3 March 2023,170 minutes,8.9,99,29792,773,81,"23 February, 2023"
70,JK 1971,"Jean Kay (28), a French citizen in 1971 risked his own life to support Bangladeshi refugees by sending medicine and food to the hijacked PIA 707 Boing on 3 December, 1971.",mncgjl705No,Gorai Films,Period Drama,Fakhrul Arefeen Khan,"Sabyasachi Chakrabarty, Subhra Sourav Das, Indrajit Majumdar","3 March, 2023",82 minutes,8.9,27,209471,214,8,"22 February, 2023"
71,JINN,"The movie starts with a newly married couple, soon the guy finds out some disturbing horrifying act of his partner. Then they reach out to a psychologist who finds out the mystery behind the unusual acts of the girl at night showing ghostly behaviors.",zDYGihC5_0g,Jaaz Multimedia,Horror Comedy,Wajed Ali Sumon,"Puja Cherry Roy, Ziaul Roshan, Sajal Noor","22 April, 2023",130 minutes,2.6,182,984844,10763,1740,"21 April, 2023"
72,CASINO,"CID leader Nawaz Mahmud discovers hidden money in ponds leading to a casino owned by Juboraj Thakme. While investigating, Nawaz falls for Ariana, a card dealer. Now, Nawaz must overcome the odds and recapture Juboraj to ensure justice is served.",Sgp-PCtZ4FI,UnKnoWn,Action Thriller,Saikat Nasir,"Nirab Hossain, Shabnam Bubly, Taskeen Rahman","29 June, 2023",127 minutes,7.4,30,23549,324,23,"19 January, 2021"
73,LAL SHARI ,"In a traditional Bangladeshi village, Farida defies societal norms to pursue education, facing obstacles and finding love along the way. ""Lal Shari"" is a tale of empowerment, love, and the transformative power of education, inspiring others to challenge oppressive traditions.",7uSkLoj5l0I,Tiger Media,Romantic Drama,Bandhan Biswas,"Apu Biswas, Dilruba Hossain Doyel, Sumit Sen Gupta","29 June, 2023",129 minutes,5.5,127,834106,8773,582,"26 June, 2023"
74,FRIDAY ,"Inspired by true events, this is a story of a woman who called 999, not for seeking help or support but to surrender to police. What was the reason behind it?",xh-IHx0yuIE,Binge,Crime Thriller,"Asiqujjaman Anik, Sonjib Bappa, Md. Din Islam Samrat","Tama Mirza, Nasir Uddin Khan, Farzana Chobi","3 March, 2023",83 minutes,6.3,176,255471,2702,178,"1 March, 2023"
75,KILL HIM,"Prince, a contract killer, wakes up one morning to realise that he has lost his memory and his life is at stake.",Byl9vLFYt3s,Ananta Jalil,Action,Md. Raiful Islam Sujon,"Barsha, Rahul Dev, Ananta Jalil","21 April, 2023",139 minutes,3.9,271,826875,14141,3101,"19 April, 2023"
76,JANOWAR,"Janowar (Beast) is a crime-drama inspired from the true incident of the robbery, gang rape and murder case of 23 April, 2020.",dNyMDfSMdWU,Live Tech,Crime Drama,"Jaaved Riyad, Raihan Rafi","Rashed Mamun Apu, Khalid El Bargoni, Farhad Limon","14 January, 2021",77 minutes,7.8,1349,1383528,27996,1447,"7 October, 2020"
77,THE DARK SIDE OF DHAKA,"Five individual stories are connected to each other in the basis of their nature. Actually, the Dark Side of the capital Dhaka, has been sketched throughout the film. What happens over our eyes in the dark of the night?

",PoRrqkV9ZO0,iTheatre,Crime Thriller,Raihan Rafi,"Manoj Pramanik, Nazifa Tushi, Tama Mirza","10 June, 2021",77 minutes,7.5,758,388304,11260,540,"22 May, 2021"
78,ANTARJAL,The film is the story of the fight of the youth of Bangladesh against an invisible force creating different social crises through the internet.,kS5QrMhMsbk,Tiger Media,Sci-Fi Thriller,Dipankar Sengupta Dipon,"Siam Ahmed, Bidya Sinha Saha, Abm Sumon","22 September, 2023",155 minutes,6.8,196,365334,8375,737,"3 September, 2023"
79,NEEL JOLER KABBO,"This film potrays Nila, a middle-class girl with a dream of visiting the sea someday.",9--wnp39Dww,Channel i Tv,Romance,Shihab Shaheen,"Afran Nisho, Mehazabien Chowdhury","16 November, 2023",70 minutes,7.3,18,39496,1287,61,"9 November, 2023"
80,MADE IN CHITTAGONG,"Solaiman and Noorjahan did not had good impression towards each other from their first meeting. Since then whenever they meet, they end up fighting. This hampered their personal life as well. Finally they fell for each other, but will they be able to be together?",YM8D7RjDeaQ,Binge,Drama,Imraul Rafat,"Partha Barua, Aparna Ghosh, Nasir uddin Khan","10 February, 2023",130 minutes,7.7,63,472655,6307,267,"13 November, 2022"
81,MUJIB BHAI,"How the beloved 'Khoka' of his parents became ""Mujib Bhai"" (brother Mujib) to the oppressed people of Bengal, his life struggle and his victory over the Pakistani oppressors.",ttphS5-9gwU,Chorki,Biography,"Chandan K Barman, Sohel Mohammad Rana","Ashraful Ashish, Hindol Roy, Shagufta Sari","23 June, 2023",48 minutes,3.9,62,35510,1465,118,"27 June, 2023"
82,MAYAR JONJAL,A petty criminal who loves a whore and wants to run away with her savings meets a laid-off factory worker who is desperate to stop his wife from working as a housemaid.,QtLrCH3gybA,Indranil Roychowdhury Films (another trailer available),Crime Drama,Indranil Roychowdhury,"Kamalika Banerjee, Paran Banerjee, Braty Basu","24 February, 2023",101 minutes,7.5,89,271738,2354,66,"6 February, 2023"
83,1971 SHEI SHOB DIN,"The film revolves around a family's experiences during 1971, providing a poignant portrayal of the era.",m8-pyjWt6bM,Bongo,War Drama,Hridi Haq,"Ferdous Ahmed, Anisur Rahman Milon, Litu Anam","18 August, 2023",142 minutes,6.3,55,69117,1527,147,"10 August, 2023"
84,PORI,Pori has fallen into the hands of a sinister circle in Thailand and asks help from famous actor Ontik.,2eyHRgkuqxY,Deepto TV,Mystery Drama,Mahmudur Rahman Hime,"Farhan Ahmed Jovan, Tariq Anam Khan, Puja Cherry Roy","8 March, 2023",83 minutes,6,9,29634,433,23,"3 March, 2023"
85,RICKSHAW GIRL,A daring Bangladeshi teenager attempts to help her struggling family by disguising herself as a boy and driving her father's prized rickshaw for much needed extra money. Based on the acclaimed novel by Mitali Perkins.,p2gVkngEg2M,California Film Institute,Family Drama,Amitabh Reza Chowdhury,"Naresh Bhuiyan, Siam Ahmed, Champa","10 December, 2022",102 minutes,6.2,154,11982,94,9,"11 September, 2021"
86,MOSHARI,"The end of the world forces two sisters together, inside a mosquito net, just to live on - but first they must survive each other.",85Hd-4JCJ3I,MIFF,Horror,Nuhash Humayun,"Sunerah Binte Kamal, Nairah Onara Saif, Moyed Bhuiyan","15 October, 2022",22 minutes,7.5,656,45621,490,16,"12 July, 2022"
87,VIRAL GIRL,"Nazia Karim, an ordinary girl, got thrashed by some people who have claimed that Nazia has stolen everything whilst having a relationship with them. These all turned out to be fake, but Nazia still has to hide her identity when in public.",i8aoNfTqEgY,Live Tech,Romantic Drama,Kajal Arefin Ome,"Mehazabien Chowdhury, Manoj Pramanik, Shahed Ali","28 January, 2021",40 minutes,8.5,39,793739,27289,632,"22 January, 2021"
88,SUJON MAJHI,"In the romantic tale set in a village of the 80s, the film has focused on two central themes - romantic love and the leadership of a defiant woman.",ktczJe24oc8,Semonty Music,Romance,Delwar Jahan Jhantu,"Ferdous Ahmed, Nipun, Kazi Hayat","8 September, 2023",115 minutes,1.3,29,230688,2186,1252,"7 September, 2023"
89,THANDA,"The story involves people from different floors of a building handling different kinds of stories in every flat. It's the summer-time and everyone's suffering from the humid heat of Dhaka. Four bachelors living in a flat under the scorching sun decides to buy an AC, little did they know it was a disaster.",EjMiyrhW1QM,ZEE5,Action Comedy,Kajal Arefin Ome,"Mishu Sabbir, Ziaul Hoque Polash, Chashi Alam","10 June, 2021",45 minutes,5.4,145,352745,3820,144,"5 June, 2021"
90,JODI KINTU TOBUO,"Abir is a young man lives in Dhaka city, trying to start up his own business who has a phobia for marrige, after six years of a successful relationship when it comes to marrying his loved one he gets scared and ends up doing something stupid. Now it's on him to right his wrong, only if there is a chance left to do so.",bqDeYoT-q9Y,ZEE5,Romance,Shihab Shaheen,"Ziaul Faruq Apurba, Saberi Alam, Naziba Basher","1 April, 2021",116 minutes,5.4,193,2267432,10693,492,"24 March, 2021"
91,GOOD BUZZ,"The old patch of friends are back, this time at Cox's Bazar. Rabby has come with his newly married wife and Maruf has come for Ira. All of them having their good and bad buzzes combined.",SiZmEJmiU9M,Club 11 Entertainment,Adventure Comedy,Kazal Arefin Ome,"Mishu Sabbir, Ziaul Hoque Polash, Safa Kabir","12 July, 2022",93 minutes,8.2,49,28767870,715625,38628,"12 July, 2022"
92,ADOM,Adom is a Bangladeshi full-length film about a difficult reality and life in the rural areas of the eighties in the south.,J3ad7yLgKkA,Tiger Media,Mystery Drama,Abu Tauhid Heron,"Raisul Islam Asad, Milon Bhatto, Jannatul Ferdous Oishee","23 December, 2022",140 minutes,7.7,13,152764,2891,232,"12 April, 2023"
93,THE VILLAGE,"In a dystopian world where AI already took over the world, a young man is searching for a mythological village where the dwellers lived like old times.",v9lTpWEVH1c,BlackBox Studio,Adventure Sci-Fi,Shahriar Galib,"Anik, Md Emon, Erfan Sourav","1 June, 2022",10 minutes,9.1,28,28270,2259,157,"20 May, 2022"
94,CHOMPA HOUSE,"A home resident experiences paranormal activities in his new home in Narinda, everyone who visits the place gets spooked by the infamous ghost named Chompa. An investigator tries to solve this riddle and confronts the spirit many times.",S8fSZwu39KY,Nazim-Ud-Daula,Horror Thriller,Vicky Zahed,"Afran Nisho, Mehazabien Chowdhury, Masum Aziz","9 May, 2022",51 minutes,7.2,653,649,4,2,"26 April, 2022"
95,KOSHAI,The movie is based on a vicious group who lures people into going abroad by offering them fake promises.,woNFc4mFMds,iTheatre,Crime,Ananya Mamun,"Rashed Mamun Apu, Dipon Mondal Dip, Imran Hossain","14 May, 2021",152 minutes,5.6,22,141238,4622,307,"11 May, 2021"
96,DARK ROOM,The plot revolves around the life of a happy couple. Things take a new turn as few people enter their lives. Secrets of the past start getting uncovered. Will things be sorted out?,LALx4e-iKAI,Live Tech,Drama,Golam Sohrab Dodul,"Chanchal Chowdhury, Azmeri Haque Badhon, Tareen Jahan","13 May, 2021",87 minutes,6.8,60,142640,3973,159,"4 May, 2021"
97,SHON SHON,"In this mysterious tale, Sogah, after a heated argument, embarks on a fishing trip to Shashan. However, his journey takes an eerie turn when she hears a girl crying and encounters unsettling events",jQ424C7WqXQ,Binge,Horror,Md Abid Mallick,"Afran Nisho, Samia Othoi","29 September, 2022",26 minutes,6.6,5,1090534,2309,0,"26 September, 2022"
98,WTFRY,"Shama, a suicidal film star, meets Bashar, a simple man and discovers the deeper meaning of life through chaos and calmness.",SIuom8N5Avk,ZEE5 (another trailer available),Romance,Anam Biswas,"Pritom Hasan, Bidya Sinha Saha, Sakib Bin Rashid","9 January, 2021",49 minutes,5.9,127,737138,1050,100,"1 January, 2021"
99,KOSHTONEER,"Seven characters, under one roof. Five siblings are together again for Rashna's marriage. Will there be a revelation?",0NTDWjGnHz0,Hoichoi,Biography,Ashfaque Nipun,"Saberi Alom, Sayed Babu, Khalid El Bargoni","15 January, 2021",100 minutes,7.6,243,45508,1497,103,"10 January, 2021"
100,MUNTASIR,A guy named Muntasir lived along with his family but lived a humiliated life as he didn’t have any job. After some times he got a government job at a data entry position and transferred into a remote area. What happened to him next?,3AN4OEtItF0,Binge,Drama,Rifat Jahan,"Farhana Hamid, Manoj Pramanik","1 December, 2022",104 minutes,6.5,21,140818,681,43,"17 November, 2022"
101,HELP ME!,"A Bangladeshi-Canadian foreigner came to Bangladesh to marry the person she has been texting. Being busy in work, Diyana and a hotel staff named Ashik travel the city and go for shopping for her wedding.",R-y2JbJQgF0,Dhruba TV,Thriller Drama,Kajal Arefin Ome,"Afran Nisho, Mehazabien Chowdhury, Kazi Asif Rahman","11 May, 2022",35 minutes,8.1,19,418497,22823,605,"25 April, 2022"
102,JE SHOHORE TAKA ORE,"A directer wants to make a film on Anwar, an industrialist whose wife cheats on him for another man and only married him for the money. After the divorce, he became an alcoholic and a chain-smoker.",lJLeZC4R-r0,Live Tech,Drama,Sanjay Somadder,"Shilpi Sharkar Apu, Gulshan Ara, Tasnia Farin","8 August, 2020",84 minutes,9.1,50,119003,3266,96,"21 July, 2020"
103,DOI,"A union full of people with different aspects of life, a marriage and a lot of nuisance between the two families. The marriage situation comes up when the UAE expat Bappi says that ""being bachelor is bad for his health"".",2R6rYQJ7hYc,Dhrubo TV,Comedy Musical,Kajal Arefin Ome,"Mishu Sabbir, Ziaul Hoque Polash, Marzuk Russel","14 February, 2022",65 minutes,7.7,35,567324,2855,859,"10 February, 2022"
104,BOYOSH ATHARO,"An eighteen-year-old boy falls in love with a girl older than him. At one point, the girl is proposed to by another man. Who will she get married to?",C582Oc9G6M4,Film And More,Action Romance,Arthik Sazib ,"Tuhin Chowdhury, Faruk al Farabi, Sakib Khan","8 July, 2023",70 minutes,9.1,15,982065,14432,626,"24 June, 2023"
105,THE BROKER,"A poor man working as a broker struggles to arrange funds for his daughter's surgery. One day, he witnesses a murder and is offered a huge amount to remain quiet. What will the broker do?",1oPXrNBJgZc,ZEE5,Thriller Drama,Abu Hayat Mahmud,"Mosharraf Karim, Nazia Haque Orsha, Shahidullah Shabuj","1 October, 2021",47 minutes,7.4,80,131772,4123,128,"25 September, 2021"
106,SHOHORE ONEK ROD,"Anik lives alone in the city, but he is much loved by his aunt and uncle, the only relatives he has here. His aunt’s unconditional love puts him in difficulties as she wants him to get married. His aunt arranges a series of meetings with girls, which do not create interest in him. The problem begins when Anik finally likes someone. Meanwhile, a strange incident occurs in his aunt and uncle’s married life. Anik realizes that some loves never get a proper conclusion! ",G_NC3fwwVnM,Deepto Entertainment,Romantic Drama,Mizanur Rahman Aryan,"Tania Ahmed, Khairul Basar, Nader Chowdhury","22 April, 2023",55 minutes,7.5,8,83200,980,25,"19 April, 2023"
107,BAD BUZZ,A group of friends travel to very beautiful locations in Rangamati for a vacation stay at a boat hotel and stay there and enjoy to the fullest before returning to their ordinary lives.,nf7h7mOkXqE,Club 11 Entertainment,Adventure Comedy,Kajal Arefin Ome,"Mishu Sabbir, Ziaul Hoque Polash, Safa Kabir","7 May, 2022",66 minutes,7.6,47,763495,29331,516,"2 May, 2022"
108,PREMER NATOK,"Arik's parents are out for a week, he's empty with things to do so decides to bring his crush to his empty house. Little did he know, his house would transform into a shooting house and find a way to get out of this mess.",LctmRYQSsYA,Airtel Buzz,Romantic Comedy,"Jahangir Alam, Nushash Humayun","Ragheeb Faatih Moazzem, Saba Chowdhury, Yash Rohan","18 September, 2023",44 minutes,8,9,6164,57,22,"21 September, 2023"
109,APON,"A son and his father living together in loneliness, but the son is really hesitant when comes to decision-making. His father wanted to get married before Adnan did, which creates an impact on the family and everyone refuses.",QztTKK1ajfA,Club 11 Entertainment,Family Drama,Kajal Arefin Ome,"Tariq Anam Khan, Afran Nisho, Monira Mithu","22 July, 2021",66 minutes,8.6,58,260541,13676,309,"16 July, 2021"
110,August 1975,"The film portrays the initial events of the radical change in the political situation of Bangladesh after the assassination of Bangabandhu Sheikh Mujibur Rahman and his family on 15 August, 1975. The political crisis made upon the killing and fate of four founding members of the Awami League, the first Prime Minister of Bangladesh Tajuddin Ahmed, former Prime Minister Mansur Ali, former Vice President Syed Nazrul Islam and former Home Minister AHM Kamaruzzaman after the assassination.",MRzWaqCCH8A,Oxpress,History,"Selim Khan, Shamim Ahmed Roni","Agun, Faruk Ahmed, Tauquir Ahmed","15 August, 2021",100 minutes,6.3,28,7371,76,6,"26 March, 2021"
111,HOTATH DEKHA,"This drama revolves around the diverse experiences of human life — success and failure, love and heartbreak, joy and sorrow.",AVFr4tyBchM,Club 11 Entertainment,Drama,Kajal Arefin Ome,"Shajid Ahmed, Ziaul Haque Apurba, Badhan Lincoln","26 May, 2020",37 minutes,8,10,242677,7964,257,"18 May, 2020"
112,GHORE FERA,A couple tired of living in a rented house and decides to find a better place for living. A guy comes to their house and tells them that they can be house-owners by paying for the house in installments.,h4HiI8KsCe8,DeadLine Entertainment,Drama,Ziaul Hoque Polash,"Emon Albira, Abhijit Bagchi, Masum Basher","27 February, 2020",41 minutes,9.1,21,54200,1927,74,"20 February, 2020"
113,OTHOBA GOLPOTA PREMER,The story is basically a love story between a very beautiful girl and a foolish boy.,cWKqXUl7IMc,Bioscope,Romance,Rezwadud Mahin,"Akil Akhtab Rezoan, Samonty Shoumi","4 May, 2022",20 minutes,10,8,1416,12,0,"7 May, 2022"
114,KARNISH,A girl books a hotel room and goes to the rooftop to attempt suicide in front of the reporters and journalists. A motivational speaker comes ahead and talks to the girl and tries to stop her from jumping off the cornice.,H25dlqybidg,Bidya Sinha MIm,Thriller Drama,Vicky Zahed,"Bidya Sinha Saha, Ziaul Roshan, Junaid Bukdadi","12 July, 2022",64 minutes,7.5,31,37749,730,23,"5 July, 2022"
115,STADIUM,"A young man, with premature balding, faces the daily struggles of being a bald person. He started wearing a wig and he also got a marriage proposal, he discloses that he is bald in the night of his wedding.",PtF3qORZatI,Club 11 Entertainment,Comedy,Kajal Arefin Ome,"Shajid Ahmed, Chashi Alam, Ziaul Hoque Polash","14 February, 2020",46 minutes,7.1,34,390329,18737,761,"3 February, 2020"
116,DHAKA DREAM,"A tale of a city where outlying people comes with dreams and lives with the nightmare. It has become a ghastly city in the world to live in, but population is increasing here every day with new faces and new mouths to feed.",QDcjz4dGNXI,Bangladhol,Drama,Proshoon Rahmaan,"Purnima Bristi, Anwar Hossain Chowdhury, Fazlul Haque","22 October, 2021",120 minutes,5.7,7,12838,282,98,"7 October, 2021"
117,SUNGLASS,"Three people, one cons people by selling them fake brand items for double price. One buys from the con guy and the other one buys a fake iPhone to show-off. They both get to know the con guy and gets him arrested.",IErqRuewGu0,Motion Rock Entertainment,Comedy,Kajal Arefin Ome,"Papiya Akhter, Ayrin Azad, Azizur Rahman Azad","5 November, 2020",52 minutes,6.7,52,304197,14849,343,"3 November, 2020"
118,ETI MAA,"After the demise of their father, Nargis and Sujan, the two elder children of three, want to take care of the family, while the youngest one, Shiplu, is busy with his political activities.",mONPLZzjjhM,Live Tech,Drama,Ashfaque Nipun,"Shilpi Sharkar Apu, Afran Nisho, Rumana Rashid Ishita","5 August, 2020",105 minutes,8.5,39,67576,3191,74,"31 July, 2020"
119,OD-BHOOT,"A girl who is thought to have been possessed by a ghost is really beautiful and that's why a lot of guys chase after her. She scares them and tends to make herself scary, to all sum everything up to a big farce.",qwHMcWtNQaE,Club 11 Entertainment,Horror Comedy,Kajal Arefin Ome,"Sabila Nur, Ziaul Hoque Polash, Chashi Alam","24 July, 2021",54 minutes,7,23,401148,17355,728,"14 July, 2021"
120,LAAL MOROGER JHUTI,The story of freedom-loving people dreaming of an independent Bangladesh.,Dl-ts5X5_RA,PaNduLipi KaRKhaNa,History Drama,Nurul Alam Atique,"Ahmed Rubel, Dilruba Hossain Doyel, Ashna Habib Bhabna","10 December, 2021",105 minutes,7.7,15,32360,551,32,"25 November, 2021"
121,THE TEACHER,"A stubborn student who doesn't study and doesn't listen to his parents, gets a home tutor who completely changes his life. First couple days was disrespectful for the teacher, but it all came together at the end.",L8j5_BdrPJA,NTV Natok,Drama,Mabrur Rashid Bannah,"Abdun Noor Shajal, Iftekhar Rafsan, Sagor Huda","25 July, 2021",45 minutes,8.4,5,34743,949,37,"12 July, 2021"
122,JOLGHORI - STORY NEVER DIES,"Jolghori' depicts the radical changes that have taken place in the lives of some people on 31st December, where mutual relations, family values, business conflicts and many other things have come up, which took place just before the celebration of the festival.",1IKgbLTR9Jw,Brikkho Films,Thriller,Asad Zaman,"Selim Ahmed, Hussain Babul, Bithey","25 January, 2021",75 minutes,7.8,7,2593,58,3,"14 January, 2021"
123,HELLO BABY,"A newly married couple getting pressurized by his friends to have a baby more sooner, but one of his friends has a baby and says that he should have a baby too. But due to fertility issues, they both had to adopt an abandoned baby.",TMAMRQ6-5BQ,Club 11 Entertainment,Romantic Comedy,Kajal Arefin Ome,"Abdullah Ariyan, Azizur Rahman Azad, Rotna Khan","1 January, 2021",45 minutes,7.7,16,226480,11324,262,"28 December, 2020"
124,BATCH 2003,Six High school friends goes to their old school campus to celebrate their reunion party. The party started with a BBQ party followed by horror stories. The tension begins when the friends goes missing one by one. Later they realize its no one but someone amongst their friends who is killing everyone.,f00R_kXCc8M,Binge,Horror Thriller,Parthe Sarkar,"Quazi Nawshaba Ahmed, Shipan Mitra, Mousum","8 April, 2021",88 minutes,5.8,33,15492,231,19,"9 April, 2021"
125,IRINA,"Irina is a mysterious girl, who offers a game to Afran Nisho to win a huge amount of money. The game is quite easy but with a sinister condition.",qfR-Vndp-GY,Live Tech,Thriller Drama,Vicky Zahed,"Mehazabien Chowdhury, Afran Nisho, Salha Khanam Nadia","14 November, 2020",39 minutes,7.4,150,259911,10132,365,"7 November, 2020"
126,HALT,"Financed in the west and shot on location in North Bengal, Halt is a profound story that transcends time and border and penetrates into the realm of the inner cravings of the human soul.",3ef8uzfYBiQ,Professor Chitro Production House,Drama,Gaushey Alexander,"Jayonto Chattopadhyay, Vaskor Rasha, Manoj Pramanik","7 April, 2021",84 minutes,8.4,12,4597,58,2,"29 October, 2018"
127,MAROON,The drama highlighted on a love story that emerged at the back seat of the bus. The entire drama was shot inside a bus.,suc6LKkDEhI,VisualScene Promotional,Romantic Drama,Mahmudur Rahman Himi,"Mehazabien Chowdury, Alamgir Islam, Rotna Khan","16 May, 2021",34 minutes,8.8,19,604,11,0,"21 May, 2021"
128,BODH,A chairman who thinks he did good deeds throughout his life suddenly dies and realizes that everyone in his union hates him and are happy that he's dead. A ghost gave him a second chance to go back and settle things down.,CHLxZYQ1n4w,Live Tech,Crime Drama,Rafat Mazumdar Rinku,"Mosharraf Karim, Runa Khan, Ashish Khondker","6 August, 2020",55 minutes,8.9,20,41497,1750,52,"29 July, 2020"
129,DEVDAS JULIET,Two people who are loggerheads at each other are given a proposal to marry each other. Also unknowingly they are friends online.,acg9OXUZR8w,Eagle Drama,Romantic Drama,Jakaria Showkhin,"Shelly Ahsan, Mili Bashar, Tasnia Farin","25 May, 2020",46 minutes,7.9,16,34425,1451,11,"18 May, 2020"
130,DURSAHOSI KHOKA,This film highlights the period of Sheikh Mujibur Rahman from birth to adolescence and youth (1920-1938).,VTQqkWyVfVA,Channel i Tv,Biography,Mushfikur Rahman Guljar,"Golam Farida Chhonda, Lutfur Rahman George, Soumya Jyoti","29 September, 2023",131 minutes,2.9,9,26980,542,51,"16 August, 2023"
131,AAM KATHALER CHHUTI,"The film tells the story of how an outcast eight-year-old city boy discovers a new world, finds friendship and a taste of adventure when he visits the village on a summer vacation.",9TLjTZKI7gA,TLT Studios,Drama,Mohammad Nuruzzaman,"Arif, Lion, Zubayar","18 August, 2023",97 minutes,8.6,5,3685,94,0,"8 August, 2023"
132,KAJOLER DINRATRI,The story follows an eight-year-old child stuck in the body of a twenty-four-year-old girl—Kajol.,E2STn6YPBA8,DeeptoPlay,Drama,Vicky Zahed,"Mehazabien Chowdhury, Tawsif Mahbub, Samia Othoi","1 January, 2023",67 minutes,8.2,45,13005,114,7,"29 December, 2022"
133,MLAN JOCHNA,"Mlan Jochna follows the story of a bright student, Hasan, from a small village, whose dreams are shattered after he gets caught up in a drug scandal.",FcCfQI3GYls,Saimum Theatre,Crime Family Drama,"Najmul Bin Ashshab, Rono Deb, Abdullahil Kafi","Safayet Ahammad, Mokser Ali, Najmul Bin Ashshab","26 February, 2023",87 minutes,9.1,36,3461,300,24,"18 January, 2023"
134,MAJNU,A story of love and friendship and how things take a major turn.,GlaFSZWf2jI,Live Tech,Romance,Vicky Zahed,"Mehazabien Chowdhury, Khairul Bashar, Shahed Ali","12 February, 2021",48 minutes,8.7,67,185729,9287,224,"8 February, 2021"
135,BACHELOR'S QURBANI,"The bachelors are back on the sacrifice festival. In this Eid-Al-Adha special, they all roam around different cow-goat markets to buy them for the Eid sacrifice and their hilarious nuisances revolving around the story.",kMQQ_-DwgNE,Dhruba TV,Comedy Drama,Kajal Arefin Ome,"Mishu Sabbir, Ziaul Hoque Polash, Marzuk Russel","10 July, 2022",100 minutes,7.3,19,2551997,157830,3469,"4 July, 2022"
136,CHONDOPOTON,Two strangers decides to take revenge on their spouses who are having an affair.,z_LsrZ-Vmsk,CMV Music,Drama,Vicky Zahed,"Tanjin Tisha, Afran Nisho, Tanvir Nahid","17 February, 2021",38 minutes,8.4,55,72907,3105,90,"14 February, 2021"
137,OPEKKHAR NEEL PROHOR,A story of a happy couple who know their death aren't far enough.,dKakPKu0PXY,Motion Rock Entertainment,Horror Drama,Jahid Preetom,"Bijlee Ahmed, Aadnan Chowdhury, Tawsif Mahbub","4 August, 2020",35 minutes,7.1,8,34949,1473,91,"31 July, 2020"
